ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I07,Topography+SocioEconomic:,0.4826,0.3832,0.1138
I07,Topography+LandCover:,0.3303,0.2282,0.1121
I07,SocioEconomic+LandCover:,0.3659,0.2973,0.1406
I07,Basic_Index+Texture+Temporal:,0.4151,0.2864,0.1836
I07,Basic_Index+Texture+Climate:,0.6807,0.6239,0.3943
I07,Basic_Index+Texture+Topography:,0.2981,0.1751,0.0719
I07,Basic_Index+Texture+SocioEconomic:,0.3959,0.2892,0.159
I07,Basic_Index+Texture+LandCover:,0.1972,0.0754,0.0474
I07,Basic_Index+Temporal+Climate:,0.6996,0.6345,0.3483
I07,Basic_Index+Temporal+Topography:,0.5415,0.3882,0.2285
I07,Basic_Index+Temporal+SocioEconomic:,0.5702,0.4375,0.2507
I07,Basic_Index+Temporal+LandCover:,0.4005,0.2802,0.1956
I07,Basic_Index+Climate+Topography:,0.6842,0.631,0.3443
I07,Basic_Index+Climate+SocioEconomic:,0.7036,0.6392,0.3256
I07,Basic_Index+Climate+LandCover:,0.6794,0.6296,0.4182
I07,Basic_Index+Topography+SocioEconomic:,0.4967,0.3862,0.1991
I07,Basic_Index+Topography+LandCover:,0.3298,0.2028,0.1178
I07,Basic_Index+SocioEconomic+LandCover:,0.3897,0.2985,0.1865
I07,Texture+Temporal+Climate:,0.6897,0.6142,0.3161
I07,Texture+Temporal+Topography:,0.5262,0.3767,0.2051
I07,Texture+Temporal+SocioEconomic:,0.5567,0.4121,0.2135
I07,Texture+Temporal+LandCover:,0.3807,0.2624,0.1659
I07,Texture+Climate+Topography:,0.6798,0.6138,0.3153
I07,Texture+Climate+SocioEconomic:,0.6982,0.6249,0.2994
I07,Texture+Climate+LandCover:,0.6746,0.6137,0.3904
I07,Texture+Topography+SocioEconomic:,0.4868,0.3729,0.1739
I07,Texture+Topography+LandCover:,0.2852,0.1679,0.0711
I07,Texture+SocioEconomic+LandCover:,0.3816,0.2823,0.1584
I07,Temporal+Climate+Topography:,0.692,0.6195,0.2645
I07,Temporal+Climate+SocioEconomic:,0.7046,0.6284,0.2463
I07,Temporal+Climate+LandCover:,0.6875,0.614,0.3341
I07,Temporal+Topography+SocioEconomic:,0.6131,0.4805,0.2249
I07,Temporal+Topography+LandCover:,0.5094,0.3578,0.2044
I07,Temporal+SocioEconomic+LandCover:,0.5303,0.4079,0.2274
I07,Climate+Topography+SocioEconomic:,0.6946,0.6278,0.2454
I07,Climate+Topography+LandCover:,0.677,0.6162,0.3359
I07,Climate+SocioEconomic+LandCover:,0.691,0.6282,0.3209
I07,Topography+SocioEconomic+LandCover:,0.4813,0.3819,0.2011
I08,Basic_Index:,0.8744,0.4676,0
I08,Texture:,0.7915,0.1201,0
I08,Temporal:,0.5593,0.0409,0
I08,Climate:,0.6756,0.2485,0
I08,Topography:,0.8914,0.6302,0
I08,SocioEconomic:,0.5893,0.01,0
I08,LandCover:,0.282,0.2107,0
I08,Basic_Index+Texture:,0.9087,0.5087,0.2148
I08,Basic_Index+Temporal:,0.9189,0.6672,0.413
I08,Basic_Index+Climate:,0.9176,0.638,0.2799
I08,Basic_Index+Topography:,0.9119,0.5591,0.0102
I08,Basic_Index+SocioEconomic:,0.9185,0.6447,0.4059
I08,Basic_Index+LandCover:,0.8875,0.5017,0.1625
I08,Texture+Temporal:,0.815,0.2047,0.1243
I08,Texture+Climate:,0.8569,0.3282,0.1439
I08,Texture+Topography:,0.8747,0.4284,0.0533
I08,Texture+SocioEconomic:,0.8044,0.2673,0.2023
I08,Texture+LandCover:,0.8551,0.322,0.1567
I08,Temporal+Climate:,0.7344,0.2309,0.0862
I08,Temporal+Topography:,0.8453,0.4231,0.0876
I08,Temporal+SocioEconomic:,0.6514,0.1193,0.0939
I08,Temporal+LandCover:,0.7664,0.3348,0.209
I08,Climate+Topography:,0.8697,0.4359,-0.0035
I08,Climate+SocioEconomic:,0.711,0.2744,0.1451
I08,Climate+LandCover:,0.8049,0.4693,0.2396
I08,Topography+SocioEconomic:,0.8575,0.425,0.1049
I08,Topography+LandCover:,0.8678,0.5541,0.1336
I08,SocioEconomic+LandCover:,0.743,0.2335,0.1232
I08,Basic_Index+Texture+Temporal:,0.9164,0.6457,0.4362
I08,Basic_Index+Texture+Climate:,0.9219,0.6021,0.3234
I08,Basic_Index+Texture+Topography:,0.9105,0.564,0.1581
I08,Basic_Index+Texture+SocioEconomic:,0.9256,0.5898,0.3905
I08,Basic_Index+Texture+LandCover:,0.912,0.5168,0.2507
I08,Basic_Index+Temporal+Climate:,0.9259,0.6802,0.4279
I08,Basic_Index+Temporal+Topography:,0.9311,0.6864,0.3068
I08,Basic_Index+Temporal+SocioEconomic:,0.9214,0.7139,0.5411
I08,Basic_Index+Temporal+LandCover:,0.9232,0.7118,0.472
I08,Basic_Index+Climate+Topography:,0.9328,0.6432,0.1944
I08,Basic_Index+Climate+SocioEconomic:,0.9257,0.6445,0.4024
I08,Basic_Index+Climate+LandCover:,0.9266,0.6497,0.3408
I08,Basic_Index+Topography+SocioEconomic:,0.9255,0.6857,0.3165
I08,Basic_Index+Topography+LandCover:,0.9158,0.5689,0.1327
I08,Basic_Index+SocioEconomic+LandCover:,0.9243,0.6688,0.4394
